target_id	length	eff_length	est_counts	tpm
lcl|NZ_CP035291.1_cds_WP_016930933.1_1	1356	1070.96	3829	132.2
lcl|NZ_CP035291.1_cds_WP_011274360.1_2	1134	848.965	9731	423.82
lcl|NZ_CP035291.1_cds_WP_172458781.1_3	243	35.2817	1340	1404.33
lcl|NZ_CP035291.1_cds_WP_016930931.1_4	1116	830.965	7134	317.44
lcl|NZ_CP035291.1_cds_WP_033079924.1_5	1935	1649.96	15294	342.74
lcl|NZ_CP035291.1_cds_WP_016930929.1_6	2700	2414.96	37395	572.56
lcl|NZ_CP035291.1_cds_WP_016930928.1_7	813	527.985	574	40.2
lcl|NZ_CP035291.1_cds_WP_016930927.1_8	1287	1001.96	18704	690.24
lcl|NZ_CP035291.1_cds_WP_016930926.1_9	696	411.002	293	26.36
lcl|NZ_CP035291.1_cds_WP_016930925.1_10	330	66.5645	147	81.66
lcl|NZ_CP035291.1_cds_WP_016930924.1_11	969	683.965	255	13.79
lcl|NZ_CP035291.1_cds_WP_029376641.1_12	927	641.965	4042	232.81
lcl|NZ_CP035291.1_cds_WP_011274371.1_13	1968	1682.96	14734	323.71
lcl|NZ_CP035291.1_cds_WP_016930923.1_14	447	163.549	3477	786.09
lcl|NZ_CP035291.1_cds_WP_011274373.1_15	1401	1115.96	12440	412.18
lcl|NZ_CP035291.1_cds_WP_011274374.1_16	1284	998.965	6752	249.92
lcl|NZ_CP035291.1_cds_WP_011274375.1_17	702	417.002	4179	370.55
lcl|NZ_CP035291.1_cds_WP_016930922.1_18	1827	1541.96	9538	228.72
lcl|NZ_CP035291.1_cds_WP_033079928.1_19	1332	1046.96	4678	165.21
lcl|NZ_CP035291.1_cds_WP_033079929.1_20	792	506.985	2179	158.92
lcl|NZ_CP035291.1_cds_WP_011274380.1_21	801	515.985	1794	128.56
lcl|NZ_CP035291.1_cds_WP_033079930.1_22	480	195.578	278	52.56
lcl|NZ_CP035291.1_cds_WP_057504846.1_23	777	492.002	0	0
lcl|NZ_CP035291.1_cds_WP_031864346.1_24	384	106.035	0	0
lcl|NZ_CP035291.1_cds_WP_224743207.1_25	567	282.074	0	0
lcl|NZ_CP035291.1_cds_WP_048665480.1_26	396	116.409	0	0
lcl|NZ_CP035291.1_cds_WP_172458787.1_27	1293	1007.96	0	0
lcl|NZ_CP035291.1_cds_WP_011274435.1_28	318	59.5558	0	0
lcl|NZ_CP035291.1_cds_WP_031796870.1_29	2061	1775.96	0	0
lcl|NZ_CP035291.1_cds_WP_016931282.1_30	546	261.137	0	0
lcl|NZ_CP035291.1_cds_WP_002472781.1_31	144	25.7821	0	0
lcl|NZ_CP035291.1_cds_WP_031870511.1_32	1254	968.965	0	0
lcl|NZ_CP035291.1_cds_WP_031870512.1_33	222	31.36	0	0
lcl|NZ_CP035291.1_cds_WP_031870513.1_34	498	213.414	0	0
lcl|NZ_CP035291.1_cds_WP_031870514.1_35	312	56.6305	0	0
lcl|NZ_CP035291.1_cds_WP_031870515.1_36	351	80.4192	0	0
lcl|NZ_CP035291.1_cds_WP_031870516.1_37	651	366.002	0	0
lcl|NZ_CP035291.1_cds_WP_031870517.1_38	510	225.319	0	0
lcl|NZ_CP035291.1_cds_WP_031870518.1_39	513	228.258	0	0
lcl|NZ_CP035291.1_cds_WP_031870519.1_40	1632	1346.96	0	0
lcl|NZ_CP035291.1_cds_WP_057504845.1_41	1362	1076.96	0	0
lcl|NZ_CP035291.1_cds_WP_031870521.1_42	1770	1484.96	0	0
lcl|NZ_CP035291.1_cds_WP_031870522.1_43	297	49.8017	0	0
lcl|NZ_CP035291.1_cds_WP_249038003.1_45	663	378.002	0	0
lcl|NZ_CP035291.1_cds_WP_249038004.1_47	13497	13212	0	0
lcl|NZ_CP035291.1_cds_WP_000393940.1_48	1617	1331.96	0	0
lcl|NZ_CP035291.1_cds_WP_000640645.1_49	1512	1226.96	0	0
lcl|NZ_CP035291.1_cds_WP_057504674.1_50	2052	1766.96	0	0
lcl|NZ_CP035291.1_cds_WP_016930484.1_52	168	27.0029	6	8.22
