target_id	length	eff_length	est_counts	tpm
lcl|NZ_CP035291.1_cds_WP_016930933.1_1	1356	1052.22	7303	171.46
lcl|NZ_CP035291.1_cds_WP_011274360.1_2	1134	830.221	10922	324.99
lcl|NZ_CP035291.1_cds_WP_172458781.1_3	243	36.2935	1609	1095.2
lcl|NZ_CP035291.1_cds_WP_016930931.1_4	1116	812.221	9143	278.09
lcl|NZ_CP035291.1_cds_WP_033079924.1_5	1935	1631.22	11223	169.97
lcl|NZ_CP035291.1_cds_WP_016930929.1_6	2700	2396.22	22275	229.64
lcl|NZ_CP035291.1_cds_WP_016930928.1_7	813	509.221	726	35.22
lcl|NZ_CP035291.1_cds_WP_016930927.1_8	1287	983.221	7189	180.63
lcl|NZ_CP035291.1_cds_WP_016930926.1_9	696	392.244	369	23.24
lcl|NZ_CP035291.1_cds_WP_016930925.1_10	330	59.5976	195	80.83
lcl|NZ_CP035291.1_cds_WP_016930924.1_11	969	665.221	460	17.08
lcl|NZ_CP035291.1_cds_WP_029376641.1_12	927	623.221	1871	74.16
lcl|NZ_CP035291.1_cds_WP_011274371.1_13	1968	1664.22	8196	121.66
lcl|NZ_CP035291.1_cds_WP_016930923.1_14	447	146.478	1523	256.86
lcl|NZ_CP035291.1_cds_WP_011274373.1_15	1401	1097.22	7651	172.26
lcl|NZ_CP035291.1_cds_WP_011274374.1_16	1284	980.221	2825	71.2
lcl|NZ_CP035291.1_cds_WP_011274375.1_17	702	398.244	2560	158.8
lcl|NZ_CP035291.1_cds_WP_016930922.1_18	1827	1523.22	4246	68.86
lcl|NZ_CP035291.1_cds_WP_033079928.1_19	1332	1028.22	1635	39.28
lcl|NZ_CP035291.1_cds_WP_033079929.1_20	792	488.221	937	47.41
lcl|NZ_CP035291.1_cds_WP_011274380.1_21	801	497.221	1121	55.7
lcl|NZ_CP035291.1_cds_WP_033079930.1_22	480	177.698	230	31.98
lcl|NZ_CP035291.1_cds_WP_057504846.1_23	777	473.233	0	0
lcl|NZ_CP035291.1_cds_WP_031864346.1_24	384	93.0958	0	0
lcl|NZ_CP035291.1_cds_WP_224743207.1_25	567	263.444	0	0
lcl|NZ_CP035291.1_cds_WP_048665480.1_26	396	102.253	0	0
lcl|NZ_CP035291.1_cds_WP_172458787.1_27	1293	989.221	0	0
lcl|NZ_CP035291.1_cds_WP_011274435.1_28	318	54.292	0	0
lcl|NZ_CP035291.1_cds_WP_031796870.1_29	2061	1757.22	0	0
lcl|NZ_CP035291.1_cds_WP_016931282.1_30	546	242.55	0	0
lcl|NZ_CP035291.1_cds_WP_002472781.1_31	144	26.9741	0	0
lcl|NZ_CP035291.1_cds_WP_031870511.1_32	1254	950.221	0	0
lcl|NZ_CP035291.1_cds_WP_031870512.1_33	222	34.0023	0	0
lcl|NZ_CP035291.1_cds_WP_031870513.1_34	498	195.15	0	0
lcl|NZ_CP035291.1_cds_WP_031870514.1_35	312	51.6643	0	0
lcl|NZ_CP035291.1_cds_WP_031870515.1_36	351	70.737	0	0
lcl|NZ_CP035291.1_cds_WP_031870516.1_37	651	347.271	0	0
lcl|NZ_CP035291.1_cds_WP_031870517.1_38	510	206.923	0	0
lcl|NZ_CP035291.1_cds_WP_031870518.1_39	513	209.887	0	0
lcl|NZ_CP035291.1_cds_WP_031870519.1_40	1632	1328.22	0	0
lcl|NZ_CP035291.1_cds_WP_057504845.1_41	1362	1058.22	0	0
lcl|NZ_CP035291.1_cds_WP_031870521.1_42	1770	1466.22	0	0
lcl|NZ_CP035291.1_cds_WP_031870522.1_43	297	46.2128	0	0
lcl|NZ_CP035291.1_cds_WP_249038003.1_45	663	359.271	0	0
lcl|NZ_CP035291.1_cds_WP_249038004.1_47	13497	13193.2	0	0
lcl|NZ_CP035291.1_cds_WP_000393940.1_48	1617	1313.22	0	0
lcl|NZ_CP035291.1_cds_WP_000640645.1_49	1512	1208.22	0	0
lcl|NZ_CP035291.1_cds_WP_057504674.1_50	2052	1748.22	0	0
lcl|NZ_CP035291.1_cds_WP_016930484.1_52	168	30.0492	2	1.64
lcl|NZ_CP035291.1_cds_WP_016930485.1_53	888	584.221	915	38.69
lcl|NZ_CP035291.1_cds_WP_016930486.1_54	189	31.9341	36	27.85
lcl|NZ_CP035291.1_cds_WP_011274452.1_55	525	221.71	178	19.83
lcl|NZ_CP035291.1_cds_WP_011274453.1_56	879	575.221	123	5.28
lcl|NZ_CP035291.1_cds_WP_011274454.1_57	984	680.221	948	34.43
lcl|NZ_CP035291.1_cds_WP_011274455.1_58	123	25.3072	16	15.62
lcl|NZ_CP035291.1_cds_WP_224743112.1_59	1437	1133.22	856	18.66
lcl|NZ_CP035291.1_cds_WP_029376608.1_60	645	341.271	81	5.86
lcl|NZ_CP035291.1_cds_WP_016930491.1_62	1224	920.221	394	10.58
lcl|NZ_CP035291.1_cds_WP_033080090.1_63	1053	749.221	855	28.19
lcl|NZ_CP035291.1_cds_WP_057504675.1_64	1917	1613.22	230	3.52
lcl|NZ_CP035291.1_cds_WP_037558281.1_65	855	551.221	0	0
lcl|NZ_CP035291.1_cds_WP_037558280.1_66	459	157.661	227	35.57
lcl|NZ_CP035291.1_cds_WP_037558278.1_67	1068	764.221	154	4.98
lcl|NZ_CP035291.1_cds_WP_053020431.1_68	1896	1592.22	1401	21.74
lcl|NZ_CP035291.1_cds_WP_057504676.1_69	930	626.221	4070	160.56
lcl|NZ_CP035291.1_cds_WP_049426148.1_70	837	533.221	781	36.18
lcl|NZ_CP035291.1_cds_WP_033079596.1_71	744	440.244	668	37.48
lcl|NZ_CP035291.1_cds_WP_057504677.1_72	1200	896.221	673	18.55
lcl|NZ_CP035291.1_cds_WP_037537419.1_73	1362	1058.22	991	23.13
lcl|NZ_CP035291.1_cds_WP_011274475.1_74	693	389.244	178	11.3
lcl|NZ_CP035291.1_cds_WP_057504678.1_75	1554	1250.22	399	7.88
lcl|NZ_CP035291.1_cds_WP_016930503.1_76	957	653.221	483	18.27
lcl|NZ_CP035291.1_cds_WP_057504679.1_77	768	464.233	303	16.12
