target_id	length	eff_length	est_counts	tpm
lcl|NZ_CP035291.1_cds_WP_016930933.1_1	1356	1057.96	6426	181.67
lcl|NZ_CP035291.1_cds_WP_011274360.1_2	1134	837.05	12093	432.12
lcl|NZ_CP035291.1_cds_WP_172458781.1_3	243	35.24	1065	903.93
lcl|NZ_CP035291.1_cds_WP_016930931.1_4	1116	817.94	9114	333.28
lcl|NZ_CP035291.1_cds_WP_033079924.1_5	1935	1637.66	17597	321.39
lcl|NZ_CP035291.1_cds_WP_016930929.1_6	2700	2402.89	47967	597.07
lcl|NZ_CP035291.1_cds_WP_016930928.1_7	813	515.29	1069	62.05
lcl|NZ_CP035291.1_cds_WP_016930927.1_8	1287	990.24	19900	601.08
lcl|NZ_CP035291.1_cds_WP_016930926.1_9	696	398.87	516	38.69
lcl|NZ_CP035291.1_cds_WP_016930925.1_10	330	61.04	265	129.85
lcl|NZ_CP035291.1_cds_WP_016930924.1_11	969	672.92	552	24.54
lcl|NZ_CP035291.1_cds_WP_029376641.1_12	927	630.79	4194	198.87
lcl|NZ_CP035291.1_cds_WP_011274371.1_13	1968	1670.79	15482	277.16
lcl|NZ_CP035291.1_cds_WP_016930923.1_14	447	152.15	3656	718.71
lcl|NZ_CP035291.1_cds_WP_011274373.1_15	1401	1102.6	13353	362.23
lcl|NZ_CP035291.1_cds_WP_011274374.1_16	1284	984.69	8499	258.16
lcl|NZ_CP035291.1_cds_WP_011274375.1_17	702	404.83	4813	355.6
lcl|NZ_CP035291.1_cds_WP_016930922.1_18	1827	1529.47	11045	216
lcl|NZ_CP035291.1_cds_WP_033079928.1_19	1332	1034.2	4438	128.35
lcl|NZ_CP035291.1_cds_WP_033079929.1_20	792	495.24	2600	157.03
lcl|NZ_CP035291.1_cds_WP_011274380.1_21	801	505.72	2302	136.15
lcl|NZ_CP035291.1_cds_WP_033079930.1_22	480	183.37	352	57.42
lcl|NZ_CP035291.1_cds_WP_057504846.1_23	777	480.51	0	0
lcl|NZ_CP035291.1_cds_WP_031864346.1_24	384	97.5	0	0
lcl|NZ_CP035291.1_cds_WP_224743207.1_25	567	270.26	0	0
lcl|NZ_CP035291.1_cds_WP_048665480.1_26	396	106.96	0	0
lcl|NZ_CP035291.1_cds_WP_172458787.1_27	1293	995.04	0	0
lcl|NZ_CP035291.1_cds_WP_011274435.1_28	318	55.07	0	0
lcl|NZ_CP035291.1_cds_WP_031796870.1_29	2061	1762.44	0	0
lcl|NZ_CP035291.1_cds_WP_016931282.1_30	546	248.38	0	0
lcl|NZ_CP035291.1_cds_WP_002472781.1_31	144	31.82	0	0
lcl|NZ_CP035291.1_cds_WP_031870511.1_32	1254	955.8	0	0
lcl|NZ_CP035291.1_cds_WP_031870512.1_33	222	30.44	0	0
lcl|NZ_CP035291.1_cds_WP_031870513.1_34	498	201.66	0	0
lcl|NZ_CP035291.1_cds_WP_031870514.1_35	312	52.37	0	0
lcl|NZ_CP035291.1_cds_WP_031870515.1_36	351	73.32	0	0
lcl|NZ_CP035291.1_cds_WP_031870516.1_37	651	353.86	0	0
lcl|NZ_CP035291.1_cds_WP_031870517.1_38	510	213.78	0	0
lcl|NZ_CP035291.1_cds_WP_031870518.1_39	513	216.48	0	0
lcl|NZ_CP035291.1_cds_WP_031870519.1_40	1632	1335.23	0	0
lcl|NZ_CP035291.1_cds_WP_057504845.1_41	1362	1064.87	0	0
lcl|NZ_CP035291.1_cds_WP_031870521.1_42	1770	1471.8	0	0
lcl|NZ_CP035291.1_cds_WP_031870522.1_43	297	44.61	0	0
lcl|NZ_CP035291.1_cds_WP_249038003.1_45	663	366.66	0	0
lcl|NZ_CP035291.1_cds_WP_249038004.1_47	13497	13201.27	0	0
lcl|NZ_CP035291.1_cds_WP_000393940.1_48	1617	1319.71	0	0
lcl|NZ_CP035291.1_cds_WP_000640645.1_49	1512	1215.06	0	0
lcl|NZ_CP035291.1_cds_WP_057504674.1_50	2052	1755.2	0	0
lcl|NZ_CP035291.1_cds_WP_016930484.1_52	168	27.17	8	8.81
lcl|NZ_CP035291.1_cds_WP_016930485.1_53	888	590.31	3358	170.15
lcl|NZ_CP035291.1_cds_WP_016930486.1_54	189	28.27	62	65.6
lcl|NZ_CP035291.1_cds_WP_011274452.1_55	525	228.36	674	88.28
lcl|NZ_CP035291.1_cds_WP_011274453.1_56	879	581.43	199	10.24
lcl|NZ_CP035291.1_cds_WP_011274454.1_57	984	687.61	909	39.54
lcl|NZ_CP035291.1_cds_WP_011274455.1_58	123	39.43	2	1.52
lcl|NZ_CP035291.1_cds_WP_224743112.1_59	1437	1139.55	874	22.94
lcl|NZ_CP035291.1_cds_WP_029376608.1_60	645	347.68	152	13.08
lcl|NZ_CP035291.1_cds_WP_016930491.1_62	1224	926.07	190	6.14
lcl|NZ_CP035291.1_cds_WP_033080090.1_63	1053	756.32	2249	88.94
lcl|NZ_CP035291.1_cds_WP_057504675.1_64	1917	1619.99	251	4.63
lcl|NZ_CP035291.1_cds_WP_037558281.1_65	855	557.92	0	0
lcl|NZ_CP035291.1_cds_WP_037558280.1_66	459	164.35	577	105.01
lcl|NZ_CP035291.1_cds_WP_037558278.1_67	1068	771.58	287	11.13
lcl|NZ_CP035291.1_cds_WP_053020431.1_68	1896	1599.74	1915	35.8
lcl|NZ_CP035291.1_cds_WP_057504676.1_69	930	633.07	2068	97.71
lcl|NZ_CP035291.1_cds_WP_049426148.1_70	837	539.61	1015	56.26
lcl|NZ_CP035291.1_cds_WP_033079596.1_71	744	448	789	52.68
lcl|NZ_CP035291.1_cds_WP_057504677.1_72	1200	903.35	303	10.03
lcl|NZ_CP035291.1_cds_WP_037537419.1_73	1362	1064.87	2011	56.49
lcl|NZ_CP035291.1_cds_WP_011274475.1_74	693	396.65	96	7.24
lcl|NZ_CP035291.1_cds_WP_057504678.1_75	1554	1257.22	346	8.23
lcl|NZ_CP035291.1_cds_WP_016930503.1_76	957	659.92	475	21.53
lcl|NZ_CP035291.1_cds_WP_057504679.1_77	768	469.41	350	22.3
lcl|NZ_CP035291.1_cds_WP_011274479.1_78	768	470.82	532	33.8
lcl|NZ_CP035291.1_cds_WP_016930504.1_79	636	340.08	356	31.31
lcl|NZ_CP035291.1_cds_WP_016930505.1_80	1173	874.32	578	19.77
lcl|NZ_CP035291.1_cds_WP_011274482.1_81	225	30.81	95	92.23
lcl|NZ_CP035291.1_cds_WP_016930506.1_82	861	563.74	493	26.16
lcl|NZ_CP035291.1_cds_WP_053024125.1_83	1326	1029.85	1005	29.19
lcl|NZ_CP035291.1_cds_WP_053021356.1_84	432	137.42	591	128.63
lcl|NZ_CP035291.1_cds_WP_053021355.1_85	432	137.6	724	157.38
lcl|NZ_CP035291.1_cds_WP_053021354.1_86	1017	719.47	6410	266.48
lcl|NZ_CP035291.1_cds_WP_080366778.1_87	345	69.08	3869	1675.2
lcl|NZ_CP035291.1_cds_WP_230197425.1_88	528	231.71	302	38.98
lcl|NZ_CP035291.1_cds_WP_016930515.1_89	1050	753.57	903	35.84
lcl|NZ_CP035291.1_cds_WP_011274491.1_90	663	366.39	692	56.49
lcl|NZ_CP035291.1_cds_WP_053021352.1_91	1410	1112.43	5334	143.42
lcl|NZ_CP035291.1_cds_WP_037550884.1_92	624	327.86	2451	223.6
lcl|NZ_CP035291.1_cds_WP_037558271.1_93	666	368.1	265	21.53
lcl|NZ_CP035291.1_cds_WP_053021351.1_94	537	239.9	221	27.55
lcl|NZ_CP035291.1_cds_WP_037558269.1_95	288	42.49	1020	718.01
lcl|NZ_CP035291.1_cds_WP_037558268.1_96	2250	1951.8	900	13.79
lcl|NZ_CP035291.1_cds_WP_037558267.1_97	864	567.21	168	8.86
lcl|NZ_CP035291.1_cds_WP_037558265.1_99	864	567.33	252	13.29
lcl|NZ_CP035291.1_cds_WP_037558264.1_100	969	672.46	72	3.2
lcl|NZ_CP035291.1_cds_WP_011274504.1_101	882	584.93	25	1.28
lcl|NZ_CP035291.1_cds_WP_011274505.1_102	390	102.65	14	4.08
lcl|NZ_CP035291.1_cds_WP_037558262.1_103	1497	1199.89	84	2.09
lcl|NZ_CP035291.1_cds_WP_011274507.1_104	939	641.88	92	4.29
lcl|NZ_CP035291.1_cds_WP_016930525.1_105	918	620.98	140	6.74
lcl|NZ_CP035291.1_cds_WP_011274509.1_106	849	551.74	1081	58.6
lcl|NZ_CP035291.1_cds_WP_011274510.1_107	819	521.81	1236	70.85
lcl|NZ_CP035291.1_cds_WP_011274511.1_108	852	555.44	1005	54.12
lcl|NZ_CP035291.1_cds_WP_011274512.1_109	384	96.88	1846	569.92
lcl|NZ_CP035291.1_cds_WP_011274514.1_110	864	565.32	564	29.84
lcl|NZ_CP035291.1_cds_WP_011274515.1_111	678	381.14	762	59.8
lcl|NZ_CP035291.1_cds_WP_235205230.1_112	840	542.42	227	12.52
lcl|NZ_CP035291.1_cds_WP_011274517.1_113	303	51.15	0	0
lcl|NZ_CP035291.1_cds_WP_011274518.1_114	1296	998.1	0	0
lcl|NZ_CP035291.1_cds_WP_011274519.1_115	318	55.44	0	0
lcl|NZ_CP035291.1_cds_WP_011274521.1_116	1089	792.62	0	0
lcl|NZ_CP035291.1_cds_WP_011274522.1_117	1005	706.46	0	0
lcl|NZ_CP035291.1_cds_WP_011274523.1_118	867	569.91	1331	69.85
lcl|NZ_CP035291.1_cds_WP_011274524.1_119	552	254.73	1293	151.82
lcl|NZ_CP035291.1_cds_WP_011274525.1_120	1182	885.88	3340	112.77
lcl|NZ_CP035291.1_cds_WP_011274526.1_121	1608	1310.93	867	19.78
lcl|NZ_CP035291.1_cds_WP_046464640.1_122	405	111.57	3754	1006.39
lcl|NZ_CP035291.1_cds_WP_057504703.1_123	1290	992.36	1431	43.13
lcl|NZ_CP035291.1_cds_WP_016930541.1_124	702	405.45	0	0
lcl|NZ_CP035291.1_cds_WP_053030727.1_125	1395	1097.53	3009	82
lcl|NZ_CP035291.1_cds_WP_053030726.1_126	780	483.22	0	0
lcl|NZ_CP035291.1_cds_WP_011274531.1_127	240	32.08	1844	1719.28
lcl|NZ_CP035291.1_cds_WP_037537465.1_128	528	232.32	31	3.99
lcl|NZ_CP035291.1_cds_WP_037537466.1_129	1035	737.82	627	25.42
lcl|NZ_CP035291.1_cds_WP_057504680.1_130	1611	1313.92	29	0.66
lcl|NZ_CP035291.1_cds_WP_037537468.1_131	1281	983.02	73	2.22
lcl|NZ_CP035291.1_cds_WP_037537472.1_132	783	485.81	135	8.31
lcl|NZ_CP035291.1_cds_WP_053020428.1_133	1704	1408.57	348	7.39
lcl|NZ_CP035291.1_cds_WP_011274541.1_134	399	108.86	532	146.17
lcl|NZ_CP035291.1_cds_WP_016930548.1_135	1659	1361.03	815	17.91
lcl|NZ_CP035291.1_cds_WP_011274543.1_136	1383	1087.14	1477	40.64
lcl|NZ_CP035291.1_cds_WP_011274544.1_137	1074	776.87	123	4.74
lcl|NZ_CP035291.1_cds_WP_011274545.1_138	441	145.88	232	47.57
lcl|NZ_CP035291.1_cds_WP_011274546.1_139	1344	1047.75	842	24.04
lcl|NZ_CP035291.1_cds_WP_011274547.1_140	687	388.61	1462	112.53
lcl|NZ_CP035291.1_cds_WP_011274548.1_141	513	216.46	2019	278.98
lcl|NZ_CP035291.1_cds_WP_057504681.1_142	1197	899.92	800	26.59
lcl|NZ_CP035291.1_cds_WP_011274551.1_143	408	117.05	37	9.45
lcl|NZ_CP035291.1_cds_WP_057504682.1_144	1353	1055.53	41	1.16
lcl|NZ_CP035291.1_cds_WP_037558252.1_145	948	651.31	18	0.83
lcl|NZ_CP035291.1_cds_WP_011274554.1_146	1041	744.38	83	3.34
lcl|NZ_CP035291.1_cds_WP_016930551.1_147	1299	1001.67	183	5.46
lcl|NZ_CP035291.1_cds_WP_037558251.1_148	1362	1064.1	934	26.25
lcl|NZ_CP035291.1_cds_WP_057504683.1_149	339	65.99	259	117.39
lcl|NZ_CP035291.1_cds_WP_057504684.1_150	774	475.35	494	31.08
lcl|NZ_CP035291.1_cds_WP_037537490.1_152	216	30.82	353	342.58
