target_id	length	eff_length	est_counts	tpm
lcl|NZ_CP035291.1_cds_WP_016930933.1_1	1356	1058.97	5162	172.53
lcl|NZ_CP035291.1_cds_WP_011274360.1_2	1134	837.15	9425	398.48
lcl|NZ_CP035291.1_cds_WP_172458781.1_3	243	35.67	993	985.33
lcl|NZ_CP035291.1_cds_WP_016930931.1_4	1116	821.96	6744	290.4
lcl|NZ_CP035291.1_cds_WP_033079924.1_5	1935	1648.06	18352	394.13
lcl|NZ_CP035291.1_cds_WP_016930929.1_6	2700	2412.61	36737	538.95
lcl|NZ_CP035291.1_cds_WP_016930928.1_7	813	515.9	833	57.15
lcl|NZ_CP035291.1_cds_WP_016930927.1_8	1287	992.53	20739	739.57
lcl|NZ_CP035291.1_cds_WP_016930926.1_9	696	384.51	482	44.37
lcl|NZ_CP035291.1_cds_WP_016930925.1_10	330	57.55	254	156.21
lcl|NZ_CP035291.1_cds_WP_016930924.1_11	969	671.19	307	16.19
lcl|NZ_CP035291.1_cds_WP_029376641.1_12	927	617.95	4205	240.85
lcl|NZ_CP035291.1_cds_WP_011274371.1_13	1968	1674.39	15402	325.58
lcl|NZ_CP035291.1_cds_WP_016930923.1_14	447	158.91	3431	764.19
lcl|NZ_CP035291.1_cds_WP_011274373.1_15	1401	1087.07	11797	384.1
lcl|NZ_CP035291.1_cds_WP_011274374.1_16	1284	966.02	10614	388.89
lcl|NZ_CP035291.1_cds_WP_011274375.1_17	702	410.25	4116	355.11
lcl|NZ_CP035291.1_cds_WP_016930922.1_18	1827	1504.29	10305	242.47
lcl|NZ_CP035291.1_cds_WP_033079928.1_19	1332	1029.88	4693	161.29
lcl|NZ_CP035291.1_cds_WP_033079929.1_20	792	502.51	2322	163.55
lcl|NZ_CP035291.1_cds_WP_011274380.1_21	801	484.01	2576	188.38
lcl|NZ_CP035291.1_cds_WP_033079930.1_22	480	201.63	392	68.81
lcl|NZ_CP035291.1_cds_WP_057504846.1_23	777	461.34	0	0
lcl|NZ_CP035291.1_cds_WP_031864346.1_24	384	84.18	0	0
lcl|NZ_CP035291.1_cds_WP_224743207.1_25	567	275.15	0	0
lcl|NZ_CP035291.1_cds_WP_048665480.1_26	396	104.8	0	0
lcl|NZ_CP035291.1_cds_WP_172458787.1_27	1293	978.45	0	0
lcl|NZ_CP035291.1_cds_WP_011274435.1_28	318	56.83	0	0
lcl|NZ_CP035291.1_cds_WP_031796870.1_29	2061	1749.12	0	0
lcl|NZ_CP035291.1_cds_WP_016931282.1_30	546	245.22	0	0
lcl|NZ_CP035291.1_cds_WP_002472781.1_31	144	26.05	0	0
lcl|NZ_CP035291.1_cds_WP_031870511.1_32	1254	948.52	0	0
lcl|NZ_CP035291.1_cds_WP_031870512.1_33	222	34.14	0	0
lcl|NZ_CP035291.1_cds_WP_031870513.1_34	498	194.99	0	0
lcl|NZ_CP035291.1_cds_WP_031870514.1_35	312	51.93	0	0
lcl|NZ_CP035291.1_cds_WP_031870515.1_36	351	75.18	0	0
lcl|NZ_CP035291.1_cds_WP_031870516.1_37	651	345.34	0	0
lcl|NZ_CP035291.1_cds_WP_031870517.1_38	510	210.97	0	0
lcl|NZ_CP035291.1_cds_WP_031870518.1_39	513	208.89	0	0
lcl|NZ_CP035291.1_cds_WP_031870519.1_40	1632	1333.13	0	0
lcl|NZ_CP035291.1_cds_WP_057504845.1_41	1362	1054.11	0	0
lcl|NZ_CP035291.1_cds_WP_031870521.1_42	1770	1460.38	0	0
lcl|NZ_CP035291.1_cds_WP_031870522.1_43	297	51.65	0	0
lcl|NZ_CP035291.1_cds_WP_249038003.1_45	663	371.2	0	0
lcl|NZ_CP035291.1_cds_WP_249038004.1_47	13497	13174.48	0	0
lcl|NZ_CP035291.1_cds_WP_000393940.1_48	1617	1312.58	0	0
lcl|NZ_CP035291.1_cds_WP_000640645.1_49	1512	1189.56	0	0
lcl|NZ_CP035291.1_cds_WP_057504674.1_50	2052	1755.85	0	0
lcl|NZ_CP035291.1_cds_WP_016930484.1_52	168	28.32	5	6.25
lcl|NZ_CP035291.1_cds_WP_016930485.1_53	888	574.16	2788	171.87
lcl|NZ_CP035291.1_cds_WP_016930486.1_54	189	29.98	90	106.25
lcl|NZ_CP035291.1_cds_WP_011274452.1_55	525	211.34	511	85.58
lcl|NZ_CP035291.1_cds_WP_011274453.1_56	879	580.89	180	10.97
lcl|NZ_CP035291.1_cds_WP_011274454.1_57	984	685.78	963	49.7
lcl|NZ_CP035291.1_cds_WP_011274455.1_58	123	17.29	9	18.42
lcl|NZ_CP035291.1_cds_WP_224743112.1_59	1437	1128.24	915	28.7
lcl|NZ_CP035291.1_cds_WP_029376608.1_60	645	339.26	103	10.75
lcl|NZ_CP035291.1_cds_WP_016930491.1_62	1224	924.14	209	8
lcl|NZ_CP035291.1_cds_WP_033080090.1_63	1053	765.08	1565	72.4
lcl|NZ_CP035291.1_cds_WP_057504675.1_64	1917	1621.68	234	5.11
lcl|NZ_CP035291.1_cds_WP_037558281.1_65	855	549.01	0	0
lcl|NZ_CP035291.1_cds_WP_037558280.1_66	459	174.95	458	92.66
lcl|NZ_CP035291.1_cds_WP_037558278.1_67	1068	759.62	282	13.14
lcl|NZ_CP035291.1_cds_WP_053020431.1_68	1896	1595.57	1739	38.58
lcl|NZ_CP035291.1_cds_WP_057504676.1_69	930	621.29	1852	105.51
lcl|NZ_CP035291.1_cds_WP_049426148.1_70	837	532.94	836	55.52
lcl|NZ_CP035291.1_cds_WP_033079596.1_71	744	454.94	559	43.49
lcl|NZ_CP035291.1_cds_WP_057504677.1_72	1200	888.3	283	11.28
lcl|NZ_CP035291.1_cds_WP_037537419.1_73	1362	1061.37	1464	48.82
lcl|NZ_CP035291.1_cds_WP_011274475.1_74	693	383.78	113	10.42
lcl|NZ_CP035291.1_cds_WP_057504678.1_75	1554	1248.82	288	8.16
lcl|NZ_CP035291.1_cds_WP_016930503.1_76	957	674.24	346	18.16
lcl|NZ_CP035291.1_cds_WP_057504679.1_77	768	466.16	259	19.67
lcl|NZ_CP035291.1_cds_WP_011274479.1_78	768	467.88	435	32.91
lcl|NZ_CP035291.1_cds_WP_016930504.1_79	636	334.58	311	32.9
lcl|NZ_CP035291.1_cds_WP_016930505.1_80	1173	887.12	472	18.83
lcl|NZ_CP035291.1_cds_WP_011274482.1_81	225	33.15	132	140.94
lcl|NZ_CP035291.1_cds_WP_016930506.1_82	861	561.34	357	22.51
lcl|NZ_CP035291.1_cds_WP_053024125.1_83	1326	1022.44	1113	38.53
lcl|NZ_CP035291.1_cds_WP_053021356.1_84	432	141.72	502	125.37
lcl|NZ_CP035291.1_cds_WP_053021355.1_85	432	123.8	623	178.12
lcl|NZ_CP035291.1_cds_WP_053021354.1_86	1017	715.79	5126	253.47
lcl|NZ_CP035291.1_cds_WP_080366778.1_87	345	66.86	3506	1856
lcl|NZ_CP035291.1_cds_WP_230197425.1_88	528	212.7	290	48.26
lcl|NZ_CP035291.1_cds_WP_016930515.1_89	1050	752.46	952	44.78
lcl|NZ_CP035291.1_cds_WP_011274491.1_90	663	366.54	659	63.64
lcl|NZ_CP035291.1_cds_WP_053021352.1_91	1410	1125.75	7122	223.92
lcl|NZ_CP035291.1_cds_WP_037550884.1_92	624	325.82	2439	264.95
lcl|NZ_CP035291.1_cds_WP_037558271.1_93	666	366.29	200	19.33
lcl|NZ_CP035291.1_cds_WP_053021351.1_94	537	225.34	239	37.54
lcl|NZ_CP035291.1_cds_WP_037558269.1_95	288	45.24	542	424.04
lcl|NZ_CP035291.1_cds_WP_037558268.1_96	2250	1953.31	758	13.74
lcl|NZ_CP035291.1_cds_WP_037558267.1_97	864	576.55	193	11.85
lcl|NZ_CP035291.1_cds_WP_037558265.1_99	864	573.1	330	20.38
lcl|NZ_CP035291.1_cds_WP_037558264.1_100	969	657.32	68	3.66
lcl|NZ_CP035291.1_cds_WP_011274504.1_101	882	570.73	28	1.74
lcl|NZ_CP035291.1_cds_WP_011274505.1_102	390	92.72	6	2.29
lcl|NZ_CP035291.1_cds_WP_037558262.1_103	1497	1187.56	56	1.67
lcl|NZ_CP035291.1_cds_WP_011274507.1_104	939	648.59	59	3.22
lcl|NZ_CP035291.1_cds_WP_016930525.1_105	918	612.77	123	7.1
lcl|NZ_CP035291.1_cds_WP_011274509.1_106	849	530.03	1080	72.12
lcl|NZ_CP035291.1_cds_WP_011274510.1_107	819	509.46	1116	77.53
lcl|NZ_CP035291.1_cds_WP_011274511.1_108	852	567.88	1670	104.09
lcl|NZ_CP035291.1_cds_WP_011274512.1_109	384	94.57	1014	379.51
lcl|NZ_CP035291.1_cds_WP_011274514.1_110	864	535.68	552	36.47
lcl|NZ_CP035291.1_cds_WP_011274515.1_111	678	390.48	544	49.31
lcl|NZ_CP035291.1_cds_WP_235205230.1_112	840	526.95	168	11.28
lcl|NZ_CP035291.1_cds_WP_011274517.1_113	303	49.64	0	0
lcl|NZ_CP035291.1_cds_WP_011274518.1_114	1296	979.68	0	0
lcl|NZ_CP035291.1_cds_WP_011274519.1_115	318	53.73	0	0
lcl|NZ_CP035291.1_cds_WP_011274521.1_116	1089	792.03	0	0
lcl|NZ_CP035291.1_cds_WP_011274522.1_117	1005	706.15	0	0
lcl|NZ_CP035291.1_cds_WP_011274523.1_118	867	555.49	1363	86.85
lcl|NZ_CP035291.1_cds_WP_011274524.1_119	552	260.21	928	126.23
lcl|NZ_CP035291.1_cds_WP_011274525.1_120	1182	869.3	513	20.89
lcl|NZ_CP035291.1_cds_WP_011274526.1_121	1608	1307.22	710	19.22
lcl|NZ_CP035291.1_cds_WP_046464640.1_122	405	108.45	2900	946.46
lcl|NZ_CP035291.1_cds_WP_057504703.1_123	1290	981.77	1248	44.99
lcl|NZ_CP035291.1_cds_WP_016930541.1_124	702	415.31	0	0
lcl|NZ_CP035291.1_cds_WP_053030727.1_125	1395	1090.94	2229	72.32
lcl|NZ_CP035291.1_cds_WP_053030726.1_126	780	469.35	0	0
lcl|NZ_CP035291.1_cds_WP_011274531.1_127	240	35.45	915	913.56
lcl|NZ_CP035291.1_cds_WP_037537465.1_128	528	243.36	45	6.54
lcl|NZ_CP035291.1_cds_WP_037537466.1_129	1035	728.01	491	23.87
lcl|NZ_CP035291.1_cds_WP_057504680.1_130	1611	1290.51	17	0.47
lcl|NZ_CP035291.1_cds_WP_037537468.1_131	1281	988.36	60	2.15
lcl|NZ_CP035291.1_cds_WP_037537472.1_132	783	481.79	111	8.15
lcl|NZ_CP035291.1_cds_WP_053020428.1_133	1704	1405.52	286	7.2
lcl|NZ_CP035291.1_cds_WP_011274541.1_134	399	126.8	466	130.08
lcl|NZ_CP035291.1_cds_WP_016930548.1_135	1659	1349.59	728	19.09
lcl|NZ_CP035291.1_cds_WP_011274543.1_136	1383	1050.42	1130	38.08
lcl|NZ_CP035291.1_cds_WP_011274544.1_137	1074	754.21	85	3.99
lcl|NZ_CP035291.1_cds_WP_011274545.1_138	441	140.41	185	46.63
lcl|NZ_CP035291.1_cds_WP_011274546.1_139	1344	1040.47	798	27.15
lcl|NZ_CP035291.1_cds_WP_011274547.1_140	687	373.99	992	93.88
lcl|NZ_CP035291.1_cds_WP_011274548.1_141	513	221.54	1566	250.19
lcl|NZ_CP035291.1_cds_WP_057504681.1_142	1197	889.13	640	25.48
lcl|NZ_CP035291.1_cds_WP_011274551.1_143	408	128.42	270	74.42
lcl|NZ_CP035291.1_cds_WP_057504682.1_144	1353	1052.15	54	1.82
lcl|NZ_CP035291.1_cds_WP_037558252.1_145	948	659.29	20	1.07
lcl|NZ_CP035291.1_cds_WP_011274554.1_146	1041	754.75	25	1.17
lcl|NZ_CP035291.1_cds_WP_016930551.1_147	1299	1007.35	154	5.41
lcl|NZ_CP035291.1_cds_WP_037558251.1_148	1362	1048.5	698	23.56
lcl|NZ_CP035291.1_cds_WP_057504683.1_149	339	64.61	104	56.97
lcl|NZ_CP035291.1_cds_WP_057504684.1_150	774	466.23	374	28.39
lcl|NZ_CP035291.1_cds_WP_037537490.1_152	216	31.85	287	318.94
lcl|NZ_CP035291.1_cds_WP_046308885.1_153	906	606.15	795	46.42
lcl|NZ_CP035291.1_cds_WP_011274567.1_154	189	28.9	101	123.7
lcl|NZ_CP035291.1_cds_WP_057504685.1_155	3207	2924.47	3023	36.59
lcl|NZ_CP035291.1_cds_WP_037558248.1_156	606	302.33	1314	153.83
lcl|NZ_CP035291.1_cds_WP_011274570.1_157	1731	1420.63	899	22.4
lcl|NZ_CP035291.1_cds_WP_011274571.1_158	339	61.43	195	112.35
lcl|NZ_CP035291.1_cds_WP_057504686.1_159	1770	1473.42	191	4.59
lcl|NZ_CP035291.1_cds_WP_037558246.1_160	1641	1322.62	472	12.63
lcl|NZ_CP035291.1_cds_WP_037558245.1_161	3204	2922.2	421	5.1
lcl|NZ_CP035291.1_cds_WP_057504687.1_162	912	613.76	258	14.88
lcl|NZ_CP035291.1_cds_WP_033079800.1_163	339	70.08	225	113.64
lcl|NZ_CP035291.1_cds_WP_037558243.1_164	837	536.39	206	13.59
lcl|NZ_CP035291.1_cds_WP_011274578.1_165	411	120.42	3	0.88
lcl|NZ_CP035291.1_cds_WP_011274579.1_166	555	259.93	4	0.54
lcl|NZ_CP035291.1_cds_WP_011274581.1_167	198	30.7	55	63.41
lcl|NZ_CP035291.1_cds_WP_057504688.1_168	858	544.02	124	8.07
lcl|NZ_CP035291.1_cds_WP_080388593.1_169	405	110.94	138	44.03
lcl|NZ_CP035291.1_cds_WP_230197427.1_171	987	688.4	1330	68.38
lcl|NZ_CP035291.1_cds_WP_011274587.1_172	999	697.35	9854	500.14
lcl|NZ_CP035291.1_cds_WP_016930574.1_173	930	638.78	9085	503.39
lcl|NZ_CP035291.1_cds_WP_011274589.1_174	216	32.59	126	136.84
lcl|NZ_CP035291.1_cds_WP_016930575.1_175	189	29.13	32	38.88
lcl|NZ_CP035291.1_cds_WP_011274591.1_176	342	65.91	158	84.85
lcl|NZ_CP035291.1_cds_WP_046308894.1_177	1023	700.92	3727	188.2
lcl|NZ_CP035291.1_cds_WP_011274593.1_178	915	604.34	2727	159.71
lcl|NZ_CP035291.1_cds_WP_037558237.1_179	798	495.42	1896	135.46
lcl|NZ_CP035291.1_cds_WP_011274595.1_180	342	72.17	507	248.65
lcl|NZ_CP035291.1_cds_WP_076684516.1_181	1002	703.17	2750	138.42
lcl|NZ_CP035291.1_cds_WP_037537524.1_182	1194	878.37	859	34.61
lcl|NZ_CP035291.1_cds_WP_033079795.1_183	966	663.16	141	7.53
lcl|NZ_CP035291.1_cds_WP_011274599.1_184	522	233.43	12	1.82
lcl|NZ_CP035291.1_cds_WP_011274600.1_185	168	27.84	7	8.9
lcl|NZ_CP035291.1_cds_WP_033079794.1_186	1419	1109.52	169	5.39
lcl|NZ_CP035291.1_cds_WP_053019652.1_187	1200	885.02	448	17.92
lcl|NZ_CP035291.1_cds_WP_037558235.1_188	786	496.72	375	26.72
lcl|NZ_CP035291.1_cds_WP_053019651.1_189	1623	1325.22	337	9
lcl|NZ_CP035291.1_cds_WP_011274605.1_190	1158	876.36	804	32.47
lcl|NZ_CP035291.1_cds_WP_011274606.1_191	249	36.97	546	522.73
lcl|NZ_CP035291.1_cds_WP_011274607.1_192	729	436.35	193	15.66
lcl|NZ_CP035291.1_cds_WP_011274608.1_193	672	379.24	107	9.99
lcl|NZ_CP035291.1_cds_WP_053022271.1_194	807	515.82	122	8.37
lcl|NZ_CP035291.1_cds_WP_037558233.1_195	867	562.78	192	12.08
lcl|NZ_CP035291.1_cds_WP_057504690.1_196	882	572.41	31	1.92
lcl|NZ_CP035291.1_cds_WP_011274612.1_197	1533	1239.95	174	4.97
lcl|NZ_CP035291.1_cds_WP_011274613.1_198	819	517.75	298	20.37
lcl|NZ_CP035291.1_cds_WP_011274614.1_199	609	308.58	476	54.6
lcl|NZ_CP035291.1_cds_WP_011274615.1_200	819	510.04	843	58.5
lcl|NZ_CP035291.1_cds_WP_057504691.1_201	663	354.57	117	11.68
lcl|NZ_CP035291.1_cds_WP_037558229.1_202	633	339.97	413	43
lcl|NZ_CP035291.1_cds_WP_057504692.1_203	774	488.67	373	27.02
lcl|NZ_CP035291.1_cds_WP_049394816.1_204	732	439.57	353	28.42
lcl|NZ_CP035291.1_cds_WP_057504693.1_205	960	640.22	503	27.81
lcl|NZ_CP035291.1_cds_WP_037537548.1_206	1563	1246.75	987	28.02
lcl|NZ_CP035291.1_cds_WP_011274622.1_207	639	330.95	1287	137.64
lcl|NZ_CP035291.1_cds_WP_011274623.1_208	927	611.32	853	49.39
lcl|NZ_CP035291.1_cds_WP_011274624.1_209	705	430.54	444	36.5
lcl|NZ_CP035291.1_cds_WP_037537549.1_210	1377	1073.35	2067	68.16
lcl|NZ_CP035291.1_cds_WP_037537551.1_211	975	681.46	674	35.01
lcl|NZ_CP035291.1_cds_WP_033079785.1_212	1203	901.73	202	7.93
lcl|NZ_CP035291.1_cds_WP_011274628.1_213	963	650.16	5792	315.31
lcl|NZ_CP035291.1_cds_WP_057504694.1_214	978	670.09	1855	97.98
lcl|NZ_CP035291.1_cds_WP_057504695.1_215	1647	1347.68	5183	136.12
lcl|NZ_CP035291.1_cds_WP_033079782.1_216	1140	841.24	1445	60.8
lcl|NZ_CP035291.1_cds_WP_033079781.1_217	1152	850.93	927	38.56
lcl|NZ_CP035291.1_cds_WP_033079780.1_218	588	296.33	221	26.4
lcl|NZ_CP035291.1_cds_WP_053030667.1_219	1776	1468.6	1002	24.15
lcl|NZ_CP035291.1_cds_WP_057504696.1_220	2259	1968.89	620	11.15
lcl|NZ_CP035291.1_cds_WP_057504697.1_221	786	479.78	114	8.41
lcl|NZ_CP035291.1_cds_WP_016930604.1_222	636	347.27	548	55.85
lcl|NZ_CP035291.1_cds_WP_057504698.1_223	846	563.18	1159	72.84
lcl|NZ_CP035291.1_cds_WP_057504699.1_224	717	410.68	262	22.58
lcl|NZ_CP035291.1_cds_WP_011274640.1_225	204	30.76	40	46.03
lcl|NZ_CP035291.1_cds_WP_057504700.1_226	483	184.46	46	8.83
lcl|NZ_CP035291.1_cds_WP_033079778.1_227	921	612.42	285	16.47
lcl|NZ_CP035291.1_cds_WP_011274644.1_228	1170	846.44	654	27.35
lcl|NZ_CP035291.1_cds_WP_011274645.1_229	564	261.7	206	27.86
lcl|NZ_CP035291.1_cds_WP_057504701.1_230	1542	1230.02	471	13.55
lcl|NZ_CP035291.1_cds_WP_011274647.1_231	960	657.37	308	16.58
lcl|NZ_CP035291.1_cds_WP_011274648.1_232	774	473.36	218	16.3
lcl|NZ_CP035291.1_cds_WP_053030647.1_233	801	502.31	245	17.26
lcl|NZ_CP035291.1_cds_WP_016930613.1_234	828	542.1	535	34.93
lcl|NZ_CP035291.1_cds_WP_037537579.1_235	378	94.18	543	204.07
lcl|NZ_CP035291.1_cds_WP_057504702.1_236	933	624.91	38973	2207.39
lcl|NZ_CP035291.1_cds_WP_037558221.1_237	483	186.22	2021	384.13
lcl|NZ_CP035291.1_cds_WP_256122440.1_239	135	22.95	1378	2125.2
lcl|NZ_CP035291.1_cds_WP_201420457.1_240	174	28.4	848	1056.84
lcl|NZ_CP035291.1_cds_WP_249038006.1_241	744	445.94	1354	107.47
lcl|NZ_CP035291.1_cds_WP_249038007.1_242	4488	4179.26	119665	1013.45
lcl|NZ_CP035291.1_cds_WP_080366123.1_243	336	67.54	4361	2285.38
lcl|NZ_CP035291.1_cds_WP_037558375.1_244	1200	901.37	1492	58.59
lcl|NZ_CP035291.1_cds_WP_011274656.1_245	1575	1279.31	2126	58.82
