target_id	length	eff_length	est_counts	tpm
lcl|NZ_CP035291.1_cds_WP_016930933.1_1	1356	1058.59	6477	181.76
lcl|NZ_CP035291.1_cds_WP_011274360.1_2	1134	836.8	12546	445.39
lcl|NZ_CP035291.1_cds_WP_172458781.1_3	243	34.24	998	865.88
lcl|NZ_CP035291.1_cds_WP_016930931.1_4	1116	819.31	9431	341.95
lcl|NZ_CP035291.1_cds_WP_033079924.1_5	1935	1638.54	17151	310.95
lcl|NZ_CP035291.1_cds_WP_016930929.1_6	2700	2403.03	53827	665.43
lcl|NZ_CP035291.1_cds_WP_016930928.1_7	813	515.46	1475	85.01
lcl|NZ_CP035291.1_cds_WP_016930927.1_8	1287	989.84	24902	747.36
lcl|NZ_CP035291.1_cds_WP_016930926.1_9	696	399.86	418	31.05
lcl|NZ_CP035291.1_cds_WP_016930925.1_10	330	61.61	244	117.65
lcl|NZ_CP035291.1_cds_WP_016930924.1_11	969	671.51	506	22.39
lcl|NZ_CP035291.1_cds_WP_029376641.1_12	927	629.98	4363	205.74
lcl|NZ_CP035291.1_cds_WP_011274371.1_13	1968	1671.89	18833	334.63
lcl|NZ_CP035291.1_cds_WP_016930923.1_14	447	150.72	4858	957.52
lcl|NZ_CP035291.1_cds_WP_011274373.1_15	1401	1102.7	15938	429.37
lcl|NZ_CP035291.1_cds_WP_011274374.1_16	1284	986.41	6075	182.96
lcl|NZ_CP035291.1_cds_WP_011274375.1_17	702	404.79	5066	371.79
lcl|NZ_CP035291.1_cds_WP_016930922.1_18	1827	1530.28	11617	225.52
lcl|NZ_CP035291.1_cds_WP_033079928.1_19	1332	1034.97	4993	143.32
lcl|NZ_CP035291.1_cds_WP_033079929.1_20	792	494.47	2892	173.75
lcl|NZ_CP035291.1_cds_WP_011274380.1_21	801	504.99	2321	136.54
lcl|NZ_CP035291.1_cds_WP_033079930.1_22	480	184.06	360	58.1
lcl|NZ_CP035291.1_cds_WP_057504846.1_23	777	479.43	0	0
lcl|NZ_CP035291.1_cds_WP_031864346.1_24	384	95.71	0	0
lcl|NZ_CP035291.1_cds_WP_224743207.1_25	567	269.6	0	0
lcl|NZ_CP035291.1_cds_WP_048665480.1_26	396	105.99	0	0
lcl|NZ_CP035291.1_cds_WP_172458787.1_27	1293	994.14	0	0
lcl|NZ_CP035291.1_cds_WP_011274435.1_28	318	54.6	0	0
